Review #,Brand,Variety,Style,Country,Points,Top Ten,Price
2580,New Touch,T's Restaurant Tantanmen ,Cup,Japan,37.5,,1.29
2579,Just Way,Noodles Spicy Hot Sesame Spicy Hot Sesame Guan-miao Noodles,Pack,Taiwan,10.0,,0.79
2578,Nissin,Cup Noodles Chicken Vegetable,Cup,USA,22.5,,1.29
2577,Wei Lih,GGE Ramen Snack Tomato Flavor,Pack,Taiwan,27.5,,0.79
2576,Ching's Secret,Singapore Curry,Pack,India,37.5,,0.79
2575,Samyang Foods,Kimchi song Song Ramen,Pack,South Korea,47.5,,0.79
2574,Acecook,Spice Deli Tantan Men With Cilantro,Cup,Japan,40.0,,1.29
2573,Ikeda Shoku,Nabeyaki Kitsune Udon,Tray,Japan,37.5,,2.19
2572,Ripe'n'Dry,Hokkaido Soy Sauce Ramen,Pack,Japan,2.5,,0.79
2571,KOKA,The Original Spicy Stir-Fried Noodles,Pack,Singapore,25.0,,0.79
2570,Tao Kae Noi,Creamy tom Yum Kung Flavour,Pack,Thailand,50.0,,0.79
2569,Yamachan,Yokohama Tonkotsu Shoyu,Pack,USA,50.0,,0.79
2568,Nongshim,Mr. Bibim Stir-Fried Kimchi Flavor,Pack,South Korea,42.5,,0.79
2567,Nissin,Deka Buto Kimchi Pork Flavor,Bowl,Japan,45.0,,1.79
2566,Nissin,Demae Ramen Bar Noodle Aka Tonkotsu Flavour Instant Noodle,Pack,Hong Kong,50.0,,0.79
2565,KOKA,Mushroom Flavour Instant Noodles,Cup,Singapore,35.0,,1.29
2564,TRDP,Mario Masala Noodles,Pack,India,37.5,,0.79
2563,Yamachan,Tokyo Shoyu Ramen,Pack,USA,50.0,,0.79
2562,Binh Tay,Mi Hai Cua,Pack,Vietnam,40.0,,0.79
2561,Paldo,Premium Gomtang,Pack,South Korea,40.0,,0.79
2560,Nissin,Cup Noodles Laksa Flavour,Cup,Hong Kong,42.5,,1.29
2559,Jackpot Teriyaki,Beef Ramen,Pack,USA,50.0,,0.79
2558,KOKA,Creamy Soup With Crushed Noodles Hot & Sour Fish Flavor,Cup,Singapore,50.0,,1.29
2557,Yamachan,Sapporo Miso Ramen,Pack,USA,47.5,,0.79
2556,Ching's Secret,Hot Garlic Instant Noodles,Pack,India,42.5,,0.79
2555,Samyang Foods,Song Song Kimchi Big Bowl,Bowl,South Korea,42.5,,1.79
2554,Yum-Mie,Instant Noodles Beef In Light Soup Flavour,Pack,Ghana,35.0,,0.79
2553,Nissin,Hakata Ramen Noodle White Tonkotsu,Bowl,Japan,47.5,,1.79
2552,MyKuali,Penang White Curry Rice Vermicelli Soup,Bowl,Malaysia,50.0,,1.79
2551,KOKA,Signature Tom Yum Flavor Instant Noodles,Pack,Singapore,40.0,,0.79
2550,Samyang Foods,Paegaejang Ramen,Pack,South Korea,50.0,,0.79
2549,Nissin,Gekikara Ramen Extra Hot Ramen Goreng,Pack,Indonesia,45.0,,0.79
2548,Ottogi,Plain Instant Noodle No Soup Included,Pack,South Korea,,,0.79
2547,Sichuan Guangyou,Chongqing Spicy Hot Noodles,Bowl,China,40.0,,1.79
2546,New Touch,Sugo-Men Kyoto Backfat Shoyu Ramen,Bowl,Japan,37.5,,1.79
2545,KOKA,Instant Noodles Laksa Singapura Flavour,Pack,Singapore,50.0,,0.79
2544,Lipton,Cup-A-Soup Chicken Noodle With White Meat Instant Soup,Box,USA,15.0,,1.09
2543,KOKA,Curry Flavour Instant Noodles,Cup,Singapore,50.0,,1.29
2542,Acecook,Super Cup Yochan Ika Yakisoba,Tray,Japan,15.0,,2.19
2541,Nissin,Cup Noodles Very Veggie Spicy Chicken Flavor Ramen Noodle Soup,Cup,USA,50.0,,1.29
2540,Wei Lih,GGE Noodle Snack Wheat Crackers Mexican Spicy,Pack,Taiwan,32.5,,0.79
2539,Nissin,Demae Iccho Tonkotsu Flavour Instant Noodle,Cup,Hong Kong,37.5,,1.29
2538,Nissin,Cup Noodles Very Veggie Beef Flavor Ramen Noodle Soup,Cup,USA,50.0,,1.29
2537,Nissin,Cup NoodlesTom Yam Seafood (More Shrimptacular),Cup,Singapore,50.0,,1.29
2536,Lele,Instant Noodles Beef,Pack,Ghana,35.0,,0.79
2535,Nissin,Cup Noodles Very Veggie Chicken Flavor Ramen Noodle Soup,Cup,USA,50.0,,1.29
2534,Fujiwara,Hokkaido Hakodate Shoyu Ramen,Pack,Japan,40.0,,0.79
2533,Nongshim,Shin Ramyun Black,Pack,South Korea,50.0,,0.79
2532,Nissin,Nippon Onomichi Ramen,Bowl,Japan,47.5,,1.79
2531,Uni-President,Pickled Cabbage Beef,Pack,China,42.5,,0.79
2530,Ottogi,Ppushu Ppushu Noodle Snack Honey Butter ,Pack,South Korea,20.0,,0.79
2529,Maruchan,Gotsumori Chanpon Ramen,Bowl,Japan,45.0,,1.79
2528,Prima,Juzz's Mee Creamy Chicken Flavour (Export Version),Pack,Singapore,50.0,,0.79
2527,Uni-President,Mushroom Flavor,Pack,Vietnam,0.0,,0.79
2526,Samyang Foods,Jjamppong Big Bowl,Bowl,South Korea,45.0,,1.79
2525,Sokensha,Curry Udon,Pack,Japan,35.0,,0.79
2524,Nissin,Straits Reborn Laksa,Pack,Singapore,50.0,,0.79
2523,Nongshim,Budae Jjigae Noodle Soup,Pack,South Korea,45.0,,0.79
2522,Takamori,Hearty Japanese Style Curry Udon,Pack,Japan,50.0,,0.79
2521,Nissin,Cup Noodles Potato Chips Black Pepper Crab Flavour,Pack,Singapore,45.0,,0.79
2520,Nissin,Cup Noodles Blacl Pepper Crab Flavour (More Angry Crab),Cup,Singapore,50.0,,1.29
2519,Guava Story,Anchovy Flavor Guava Rice Noodles,Tray,South Korea,10.0,,2.19
2518,Samurai Ramen,Umami Ramen,Pack,Japan,40.0,,0.79
2517,Ikeda Shoku,Nabeyaki Tempura Udoin,Bowl,Japan,45.0,,1.79
2516,Fujiwara,Hokkaido Hakodate Miso Ramen,Pack,Japan,35.0,,0.79
2515,Uni-President,Man Han Feast Spicy Beef Flavor Instant Noodles,Bowl,Taiwan,50.0,,1.79
2514,Ogasawara,Kirin Giraffe Shoyu Ramen,Pack,Japan,45.0,,0.79
2513,Pringles,Nissin Top Ramen Chicken Flavor Potato Crisps ,Can,USA,35.0,,1.09
2512,Mom's Dry Noodle,Dan Dan Noodle,Pack,Taiwan,50.0,,0.79
2511,Samyang Foods,Samyang Ramen Classic Edition,Bowl,South Korea,50.0,,1.79
2510,MyKuali,Penang Red Tom Yum Goong Noodle,Pack,Malaysia,50.0,,0.79
2509,Maggi,Hot Heads Green Chilli Noodles,Pack,India,35.0,,0.79
2508,Samyang Foods,Mala Buldak Bokkeummyun,Pack,South Korea,37.5,,0.79
2507,Indomie,RMy Noodlez Rumput Laut,Pack,Indonesia,40.0,,0.79
2506,KOKA,Delight Chicken Flavor Instant Non-Fried Noodles,Pack,Singapore,37.5,,0.79
2505,Acecook,Super Cup Torigawa Shoyu,Bowl,Japan,35.0,,1.79
2504,Nongshim,Shin Ramyun,Pack,South Korea,30.0,,0.79
2503,Sichuan Guangyou,Sweet Potato Instant Noodle Sout-Hot Flavor,Bowl,China,0.0,,1.79
2502,Indomie,Onion Chicken Flavor,Pack,Nigeria,15.0,,0.79
2501,Happy Cook,Toona Paste Noodle,Pack,Taiwan,40.0,,0.79
2500,The Ramen Rater Select,Supreme Creamy Tom Yum Noodle,Box,Malaysia,50.0,,1.09
2499,KOKA,Creamy Soup With Crushed Noodles Chicken Flavor,Cup,Singapore,50.0,,1.29
2498,Nissin,Demae Ramen Spicy Beef,Pack,Germany,37.5,,0.79
2497,Nissin,Cup Noodles Spicy,Cup,Germany,37.5,,1.29
2496,Nissin,Soba Thai,Pack,Germany,45.0,,0.79
2495,Nissin,Cup Noodles Huhn (Chicken),Cup,Germany,37.5,,1.29
2494,Nissin,Demae Ramen Korean Kimchi,Pack,Germany,35.0,,0.79
2493,Nissin,Cup Noodles Curry,Cup,Germany,37.5,,1.29
2492,Nissin,Smack Chili,Pack,Hungary,37.5,,0.79
