code;name;;en_name;de_desc;de_link;en_desc;en_link;de_syn;en_syn
BERJ-1983;1983;;;;;;;;
BERJ-1984;1984;;;;;;;;
BERJ-1985;1985;;;;;;;;
BERJ-1986;1986;;;;;;;;
BERJ-1987;1987;;;;;;;;
BERJ-1988;1988;;;;;;;;
BERJ-1989;1989;;;;;;;;
BERJ-1990;1990;;;;;;;;
BERJ-1991;1991;;;;;;;;
BERJ-1992;1992;;;;;;;;
BERJ-1993;1993;;;;;;;;
BERJ-1994;1994;;;;;;;;
BERJ-1995;1995;;;;;;;;
BERJ-1996;1996;;;;;;;;
BERJ-1997;1997;;;;;;;;
BERJ-1998;1998;;;;;;;;
BERJ-1999;1999;;;;;;;;
BERJ-2000;2000;;;;;;;;
BERJ-2001;2001;;;;;;;;
BERJ-2002;2002;;;;;;;;
BERJ-2003;2003;;;;;;;;
BERJ-2004;2004;;;;;;;;
BERJ-2005;2005;;;;;;;;
BERJ-2006;2006;;;;;;;;
BERJ-2007;2007;;;;;;;;
BERJ-2008;2008;;;;;;;;
BERJ-2009;2009;;;;;;;;
BERJ-2010;2010;;;;;;;;
BERJ-2011;2011;;;;;;;;
BERJ-2012;2012;;;;;;;;
BERJ-2013;2013;;;;;;;;
BERJ-2014;2014;;;;;;;;
BERJ-2015;2015;;;;;;;;
BERJ-2016;2016;;;;;;;;
BERJ-2017;2017;;;;;;;;
BERJ-2018;2018;;;;;;;;
BERJ-2019;2019;;;;;;;;
BERJ-2020;2020;;;;;;;;
BERJ-2021;2021;;;;;;;;
BERJ-2022;2022;;;;;;;;
