ChocolateId,Company,Specific Bean Origin or Bar Name,ReviewDate,CocoaPercent,CompanyLocation,Rating,BeanType
CHOC0001,A. Morin,Agua Grande,2016,63%,France,3.75, 
CHOC0002,A. Morin,Kpime,2015,70%,France,2.75, 
CHOC0003,A. Morin,Atsane,2015,70%,France,3, 
CHOC0004,A. Morin,Akata,2015,70%,France,3.5, 
CHOC0005,A. Morin,Quilla,2015,70%,France,3.5, 
CHOC0006,A. Morin,Carenero,2014,70%,France,2.75,Criollo
CHOC0007,A. Morin,Cuba,2014,70%,France,3.5, 
CHOC0008,A. Morin,Sur del Lago,2014,70%,France,3.5,Criollo
CHOC0009,A. Morin,Puerto Cabello,2014,70%,France,3.75,Criollo
CHOC0010,A. Morin,Pablino,2014,70%,France,4, 
CHOC0011,A. Morin,Panama,2013,70%,France,2.75, 
CHOC0012,A. Morin,Madagascar,2013,70%,France,3,Criollo
CHOC0013,A. Morin,Brazil,2013,70%,France,3.25, 
CHOC0014,A. Morin,Equateur,2013,70%,France,3.75, 
CHOC0015,A. Morin,Colombie,2013,70%,France,2.75, 
CHOC0016,A. Morin,Birmanie,2013,70%,France,3, 
CHOC0017,A. Morin,Papua New Guinea,2013,70%,France,3.25, 
CHOC0018,A. Morin,Chuao,2013,70%,France,4,Trinitario
CHOC0019,A. Morin,Piura,2013,70%,France,3.25, 
CHOC0020,A. Morin,Chanchamayo Province,2013,70%,France,3.5, 
CHOC0021,A. Morin,Chanchamayo Province,2013,63%,France,4, 
CHOC0022,A. Morin,Bolivia,2012,70%,France,3.5, 
CHOC0023,A. Morin,Peru,2012,63%,France,3.75, 
CHOC0024,Acalli,"Chulucanas, El Platanal",2015,70%,U.S.A.,3.75, 
CHOC0025,Acalli,"Tumbes, Norandino",2015,70%,U.S.A.,3.75,Criollo
CHOC0026,Adi,Vanua Levu,2011,60%,Fiji,2.75,Trinitario
CHOC0027,Adi,"Vanua Levu, Toto-A",2011,80%,Fiji,3.25,Trinitario
CHOC0028,Adi,Vanua Levu,2011,88%,Fiji,3.5,Trinitario
