Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track
Tommy Richman,4/26/2024,1,725.4,390470936.0,"30,716","196,631,588",92.0,"84,274,754","1,713,126",5767700.0,"651,565,900","5,332,281,936","150,597,040",210.0,"40,975",684,62.0,"17,598,718",114.0,"18,004,655","22,931","4,818,457","2,669,262",0
Kendrick Lamar,5/4/2024,2,545.9,323703884.0,"28,113","174,597,137",92.0,"116,347,040","3,486,739",674700.0,"35,223,547","208,339,025","156,380,351",188.0,"40,778",3,67.0,"10,422,430",111.0,"7,780,028","28,444","6,623,075","1,118,279",1
Artemas,3/19/2024,3,538.4,601309283.0,"54,331","211,607,669",92.0,"122,599,116","2,228,730",3025400.0,"275,154,237","3,369,120,610","373,784,955",190.0,"74,333",536,136.0,"36,321,847",172.0,"5,022,621","5,639","7,208,651","5,285,340",0
Miley Cyrus,1/12/2023,4,444.9,2031280633.0,"269,802","136,569,078",85.0,"1,096,100,899","10,629,796",7189811.0,"1,078,757,968","14,603,725,994","3,351,188,582",394.0,"1,474,799","2,182",264.0,"24,684,248",210.0,"190,260,277","203,384",,"11,822,942",0
Eminem,5/31/2024,5,423.3,107034922.0,"7,223","151,469,874",88.0,"77,373,957","3,670,188",16400.0,,,"112,763,851",182.0,"12,185",1,82.0,"17,660,624",105.0,"4,493,884","7,006","207,179","457,017",1
Jack Harlow,11/10/2023,6,410.1,670665438.0,"105,892","175,421,034",83.0,"131,148,091","1,392,593",4202367.0,"214,943,489","2,938,686,633","2,867,222,632",138.0,"522,042","4,654",86.0,"17,167,254",152.0,"138,529,362","50,982","9,438,601","4,517,131",1
FloyyMenor,2/2/2024,8,375.8,675079153.0,"40,094","211,236,940",92.0,"228,382,568","1,439,495",3500000.0,"338,546,668","3,804,584,163","2,112,581,620",160.0,"17,221",30,87.0,"33,245,595",53.0,"3,372,428","5,762",,"6,063,523",1
Central Cee,5/23/2024,10,330.6,90676573.0,"10,400","184,199,419",86.0,"32,735,244","988,682",325800.0,"121,574,500","974,656,200","174,706,874",191.0,"3,823",117,78.0,"10,800,098",92.0,"1,005,626",842,"3,679,709","666,302",1
Billie Eilish,5/17/2024,13,316.3,221636195.0,"13,800","197,280,692",92.0,"40,022,524","1,307,290",195300.0,"45,889,000","360,017,000","342,107,131",244.0,"41,344",45,138.0,"38,243,636",163.0,"1,354,692","1,219","1,313,357","450,344",0
Kids With Buns,10/7/2022,15,301.6,297185.0,277,"24,445",12.0,"6,736,502,312","16,785,489",3.0,"1,088","22,234",,1.0,"1,057",,,,,,,,"3,288",0
Myke Towers,3/22/2023,16,299.9,925655569.0,"103,605","79,944,921",79.0,"934,302,031","4,294,166",11054500.0,"521,725,116","7,499,234,052","2,042,145,659",94.0,"92,231",228,60.0,"5,633,435",83.0,"12,171,026","13,242","871,978","2,765,808",1
Taylor Swift,4/18/2024,17,297.6,395433400.0,"12,784","177,932,568",89.0,"104,673,836","2,484,083",139300.0,"25,348,800","207,317,000","268,893,710",221.0,"129,968",3,99.0,"37,988,531",134.0,"9,961,769","13,437","377,734","1,210,029",0
Tate McRae,9/14/2023,18,293.7,1258569694.0,"105,218","198,845,580",87.0,"141,646,818","1,514,837",2294429.0,"419,319,161","5,456,156,211","2,667,285,437",207.0,"667,329","3,310",188.0,"21,788,568",150.0,"44,850,379","12,270",,"6,973,652",1
Billie Eilish,5/17/2024,19,292.6,91272461.0,"6,499","52,287,548",86.0,"16,038,053","569,377",941900.0,"119,740,900","1,225,345,800","5,839,168",76.0,181,1,24.0,"5,054,005",33.0,"283,089",162,"975,891","257,661",0
Harry Styles,3/31/2022,20,292.0,3301814535.0,"407,119","169,783,402",87.0,"800,899,315","9,101,589",2755903.0,"1,633,970,617","15,405,881,843","7,289,707,052",455.0,"1,777,811","4,909",330.0,"12,907,852",189.0,"132,624,772","79,909",,"14,967,379",0
Doja Cat,8/4/2023,21,290.5,1065399331.0,"170,890","121,712,197",78.0,"240,970,670","2,749,668",3091732.0,"652,428,798","7,095,564,106","1,063,591,802",158.0,"400,899",273,143.0,"13,718,632",146.0,"70,291,476","49,111",,"7,559,816",1
Sabrina Carpenter,4/12/2024,22,281.5,547882871.0,"24,425","262,343,414",95.0,"107,550,212","1,825,761",209200.0,"169,144,295","1,379,499,000","422,646,034",298.0,"37,208",236,167.0,"41,414,565",149.0,"10,362,898","10,848","1,551,157","1,373,085",1
Beyoncï¿,2/10/2024,24,278.9,426700979.0,"34,044","152,928,632",86.0,"35,724,356","437,980",1470500.0,"485,200,392","6,518,604,175","1,213,175,656",159.0,"309,497",257,194.0,"40,725,482",177.0,"13,860,535","36,282",,"2,100,708",1
WZ Beat,5/24/2022,26,268.1,7382759.0,"3,504","661,084",35.0,"4,233,958","69,990",37621885.0,"1,636,811,753","22,918,660,728",,1.0,,439,1.0,6,1.0,,,,"633,525",0
The Kid LAROI,7/9/2021,27,266.3,3107100349.0,"451,732","134,793,519",78.0,"1,256,973,582","14,661,425",7485966.0,"2,246,991,336","23,712,377,029","4,327,058,646",513.0,"1,510,151","4,096",166.0,"5,783,693",128.0,"196,783,487","124,922","36,341,585",,1
