dürfen;may
neun;nine
Tag;day
sollen;should
selber;self
nichts;nothing
Kind;infant
klein;small
Mann;man
kennen;acquainted
sechs;six
alles;everything
oder;or
zehn;ten
drei;three
zwei;two
fünf;five
reisen;travel
wissen;know
was;what
Mensch;human
und;and
acht;eight
vier;four
mehr;more
zwischen;between
wünschen;wish
über;over
Geflügel;fowl
Bibliothek;library
hundert;hundred
billig;cheap
Krankenhaus;hospital
Meinung;opinion
entschuldigen;apologize
Unterschied;difference
Wirtschaft;economy
interessant;interesting
kämpfen;fight
sympathisch;sympathetic
hinaus;outward
Brille;spectacles
Wolle;wool
vorwärts;foreward
oberer;upper
respektieren;respect
Spanier;Spaniard
Eingang;entrance
verheiratet;married
Geflügel;poultry
erhaben;lofty
hoch;high
offen;open
Kunde;customer
Reifen;tyre
sauber;clean
wiegen;weigh
Kleider;clothes
Fahne;banner
Konzert;concert
wenig;little
einladen;invite
Reich;realm
zerstören;destroy
dreißig;thirty
lernen;learn
Garage;garage
schwimmen;swim
Kakao;cocoa
Mädchen;girl
Sommer;summer
Verstand;mind
Pfirsich;peach
hinter;behind
Hahn;rooster
Österreicher;Austrian
entschuldigen;excuse
April;April
Europa;Europe
Geduld;patience
schmal;narrow
Meister;maestro
Unterschrift;signature
kämmen;comb
kurz;brief
Freund;friend
Sicherheit;safety
anwerben;hire
schuldig;guilty
Briefmarke;stamp
nach;after
Januar;January
ankommen;arrive
wollen;want
Liebe;love
arbeiten;work
Lehrer;teacher
Dollar;dollar
Kamm;comb
Fabrik;factory
krank;ill
Wolke;cloud
Nacht;night
Million;million
Europäer;European
Hoffnung;hope
Koch;cook
Kellner;waiter
Oktober;October
Dorf;village
Ziege;goat
Anstrengung;efforts
vergessen;forget
System;system
Trinkspruch;toast
Öffnung;aperture
Fisch;fish
Deutschland;Germany
ohne;without
Neuheit;newness
Schwierigkeit;difficulty
Braut;bride
Tor;portal
Einfluss;influence
technisch;technical
Getreide;grain
neunzehn;nineteen
reparieren;repair
gleichzeitig;simultaneous
glauben;believe
Dienstag;Tuesday
Park;park
Tasche;pocket
Kalbfleisch;veal
Richter;judge
öffentlich;public
tanzen;dance
Bleistift;pencil
Gemälde;painting
tot;dead
lachen;laugh
Hemd;shirt
Höhe;height
Nachmittag;afternoon
Reisende;traveller
Handtuch;towel
Halle;hall
ähnlich;similar
Freitag;Friday
kurz;short
behaupten;assert
kreuzen;cruise
tief;profound
danach;thereafter
Regel;regulation
Gefahr;peril
breit;widely
Hals;neck
Kohl;cabbage
Handel;commerce
neben;alongside
Quelle;source
Seife;soap
Kaninchen;rabbit
Spitze;lace
Bart;beard
Interview;interview
Nichte;niece
Pfeife;whistle
Messer;knife
medizinisch;medical
teuer;costly
Apfel;apple
Kilogramm;kilo
See;lake
Traum;dream
Rindfleisch;beef
Polizei;police
Polen;Poland
rechter;righthand
März;March
Rhein;Rhine
Suppe;soup
Größe;greatness
Serviette;napkin
Sieg;victory
Bewegung;movement
Enkelin;granddaughter
Schlaf;sleep
Bäcker;baker
heiß;hot
nirgends;nowhere
beide;both
Minister;minister
Norwegen;Norway
Asien;Asia
Vogel;bird
Dänemark;Denmark
Herr;Mr.
Zeitung;gazette
Brücke;bridge
Holland;Holland
Bremse;brake
Stirn;forehead
Spielzeug;toy
Westen;west
Halbinsel;peninsula
Großmutter;grandmother
elf;eleven
Schule;school
modern;modern
Mücke;gnat
wahrscheinlich;probable
völlig;completely
Mutter;mother
wahrscheinlich;likely
Tochter;daughter
Kaffee;coffee
zwanzig;twenty
Strand;beach
Wissenschaft;science
Griechenland;Greece
Parlament;parliament
Sport;sport
Bericht;bulletin
Kuss;kiss
Baby;baby
November;November
bitte;please
Schwester;sister
Kette;chain
Frucht;fruit
Insekt;insect
politisch;political
Meter;metre
Flasche;bottle
trocken;dry
Berg;mountain
Mai;May
Arbeit;chore
Tal;valley
Klima;climate
Hut;hat
Landstraße;highway
Stil;style
Huhn;hen
Journalist;journalist
Österreich;Austria
Maß;measure
durstig;thirsty
Literatur;literature
Verwaltung;management
Frühstück;breakfast
Wechsel;exchange
Musiker;musician
Schlafzimmer;bedroom
Gruppe;group
Belgien;Belgium
fünfzig;fifty
Spaziergang;stroll
Melone;melon
Dach;roof
Traum;daydream
evangelisch;evangelic
zentral;central
zwölf;twelve
Sonntag;Sunday
Tür;door
Kirche;church
Reis;rice
Taschentuch;handkerchief
Elektrizität;electricity
als;than
Band;ribbon
Nase;nose
Öl;oil
Russland;Russia
England;England
Land;countryside
wach;awake
Franzose;Frenchman
Geschmack;taste
froh;glad
möglich;possible
Gefahr;danger
September;September
Finger;finger
