Youngstown, OH; -5572.57;2839.81 
Yankton, SD; -6729.21;2962.82 
Yakima, WA; -8326.72;3219.84 
Worcester, MA; -4961.07;2920.67 
Wisconsin Dells, WI; -6202.70;3014.64 
Winston-Salem, NC; -5544.93;2494.33 
Winnipeg, MB; -6712.64;3446.49 
Winchester, VA; -5400.52;2707.84 
Wilmington, NC; -5383.92;2365.84 
Wilmington, DE; -5220.18;2746.55 
Williston, ND; -7159.69;3326.96 
Williamsport, PA; -5320.37;2850.20 
Williamson, WV; -5685.17;2603.52 
Wichita Falls, TX; -6805.21;2342.34 
Wichita, KS; -6725.75;2604.20 
Wheeling, WV; -5577.40;2768.64 
West Palm Beach, FL; -5531.11;1846.22 
Wenatchee, WA; -8313.57;3276.50 
Weed, CA; -8456.60;2861.92 
Waycross, GA; -5690.01;2157.15 
Wausau, WI; -6193.72;3106.52 
Waukegan, IL; -6068.67;2926.89 
Watertown, SD; -6709.88;3102.40 
Watertown, NY; -5245.72;3038.81 
Waterloo, IA; -6380.27;2936.57 
Waterbury, CT; -5047.44;2870.91 
Washington, DC; -5322.42;2687.11 
Warren, PA; -5468.21;2891.63 
Walla Walla, WA; -8176.09;3183.22 
Waco, TX; -6711.93;2179.95 
Vincennes, IN; -6047.92;2672.62 
Victoria, TX; -6702.97;1990.63 
Vicksburg, MS; -6279.39;2235.23 
Vancouver, BC; -8507.06;3404.34 
Valley City, ND; -6772.07;3241.95 
Valdosta, GA; -5754.27;2130.20 
Utica, NY; -5198.07;2978.71 
Uniontown, PA; -5509.00;2756.92 
Tyler, TX; -6584.82;2235.23 
Twin Falls, ID; -7909.38;2940.71 
Tuscaloosa, AL; -6050.69;2294.65 
Tupelo, MS; -6129.46;2367.20 
Tulsa, OK; -6626.97;2498.48 
Tucson, AZ; -7667.55;2226.26 
Trinidad, CO; -7221.19;2568.27 
Trenton, NJ; -5166.26;2779.70 
Traverse City, MI; -5916.64;3092.70 
Toronto, ON; -5484.79;3016.03 
Topeka, KS; -6610.36;2698.17 
Toledo, OH; -5772.25;2877.83 
Texarkana, TX; -6498.45;2309.87 
Terre Haute, IN; -6039.65;2727.21 
Tampa, FL; -5696.92;1931.22 
Tallahassee, FL; -5823.36;2103.96 
Tacoma, WA; -8459.38;3264.08 
Syracuse, NY; -5261.63;2974.55 
Swainsboro, GA; -5689.32;2252.50 
Sumter, SC; -5551.82;2343.71 
Stroudsburg, PA; -5195.30;2832.23 
Stockton, CA; -8380.61;2622.85 
Stevens Point, WI; -6188.88;3076.14 
Steubenville, OH; -5570.49;2788.70 
Sterling, CO; -7132.05;2806.65 
Staunton, VA; -5463.38;2636.00 
Springfield, OH; -5790.89;2758.28 
Springfield, MO; -6445.93;2571.74 
Springfield, MA; -5015.64;2908.91 
Springfield, IL; -6194.43;2749.99 
Spokane, WA; -8112.52;3293.77 
South Bend, IN; -5959.50;2879.91 
Sioux Falls, SD; -6683.62;3008.43 
Sioux City, IA; -6660.11;2935.87 
Shreveport, LA; -6477.72;2246.28 
Sherman, TX; -6675.33;2324.36 
Sheridan, WY; -7390.45;3095.47 
Seminole, OK; -6680.17;2434.22 
Selma, AL; -6012.69;2240.06 
Sedalia, MO; -6441.79;2674.67 
Seattle, WA; -8452.47;3288.93 
Scranton, PA; -5228.45;2861.23 
Scottsbluff, NB; -7162.46;2893.02 
Schenectady, NY; -5109.61;2958.66 
Savannah, GA; -5602.95;2216.59 
Sault Sainte Marie, MI; -5828.20;3212.26 
Sarasota, FL; -5702.45;1889.08 
Santa Rosa, CA; -8479.42;2656.02 
Santa Fe, NM; -7320.67;2465.33 
Santa Barbara, CA; -8270.73;2378.25 
Santa Ana, CA; -8144.31;2332.65 
San Jose, CA; -8421.36;2580.03 
San Francisco, CA; -8458.67;2610.42 
Sandusky, OH; -5714.88;2864.02 
San Diego, CA; -8094.56;2260.10 
San Bernardino, CA; -8105.59;2356.85 
San Antonio, TX; -6805.92;2032.79 
San Angelo, TX; -6939.97;2173.73 
Salt Lake City, UT; -7730.40;2816.32 
Salisbury, MD; -5223.61;2651.18 
Salinas, CA; -8405.49;2533.72 
Salina, KS; -6744.43;2683.68 
Salida, CO; -7324.14;2662.24 
Salem, OR; -8500.82;3105.14 
Saint Paul, MN; -6432.79;3105.85 
Saint Louis, MO; -6231.74;2668.46 
Saint Joseph, MO; -6553.01;2747.93 
Saint Joseph, MI; -5975.39;2908.91 
Saint Johnsbury, VT; -4976.25;3069.21 
Saint Cloud, MN; -6506.72;3148.67 
Saint Augustine, FL; -5618.84;2065.25 
Saginaw, MI; -5799.89;3000.82 
Sacramento, CA; -8394.41;2666.40 
Rutland, VT; -5041.91;3013.26 
Roswell, NM; -7222.55;2307.80 
Rocky Mount, NC; -5375.64;2483.28 
Rock Springs, WY; -7547.32;2873.69 
Rockford, IL; -6156.40;2920.67 
Rochester, NY; -5362.51;2982.15 
Rochester, MN; -6388.57;3041.59 
Roanoke, VA; -5523.51;2575.20 
Richmond, VA; -5351.44;2593.85 
Richmond, IN; -5865.51;2752.08 
Richfield, UT; -7744.91;2678.84 
Rhinelander, WI; -6178.52;3153.51 
Reno, NV; -8278.33;2730.66 
Regina, SA; -7230.86;3483.78 
Red Bluff, CA; -8446.23;2776.26 
Reading, PA; -5246.43;2786.63 
Ravenna, OH; -5613.31;2843.96 
